tge_year,name,narrative,type,inst_ico,comm_ico,listing_price,inst_vesting_perc,pub_vesting_perc,cex_1,cex_2,cex_3,x_comm,hr1_high,hr1_low,hr2_high,hr2_low,hr3_high,hr3_low
2024,COOKIE,AI ,Altcoin,1,0,0.1135,2,12.5,bybit,mexc,kucoin,200000,0.17,0.1,0.22,0.08,0.19,0.06
2024,BUBBLE,GAMING,GameFi,1,1,0.02,18.5,30,bybit,bitget,HTX,750000,0.11,0.02,0.11,0.01,0.01,0.01
2024,MON,ALT,Altcoin,0,1,0.39,0,30,BingX,BTSE,Weex,297570,0.69,0.48,0.54,0.48,0.45,0.42
2024,CLOUD,WEB 3,Application,1,1,0.32,13,30,Bybit,Kraken,OKX,171640,0.3,0.29,0.29,0.29,0.3,0.29
2017,ADA (Cardano),BLOCKCHAIN / LAYER,Altcoin,1,0,0.2,51.61,0,Binance,OKX,Bybit,8950,0.03,0.03,0.13,0.12,0.48,0.33
2020,Polkadot (DOT),LAYER,Blockchain,1,1,88.45,58.4,11.6,Binance,Bybit,Kraken,1040000,4.48,2.9,5.24,4.17,4.69,4.13
2024,RETIK,PROTOCOL,Altcoin,1,0,0.15,100,0,BingX,Bitmark,P2B,50600,2.23,1.2,1.86,1.56,2.21,1.93
2017,FIL (Filecoin),STORAGE,Blockchain,1,1,11.47,8,55,Coinbase,Binance,Gate.io,664106,61.04,32.71,32.56,26.81,29.93,27.65
2016,NEO,BLOCKCHAIN,Altcoin,1,0,0.18,40,0,Upbit,HTX,KuCoin,1040000,0.55,0.2,0.14,0.12,0.16,0.13
2020,ALIAS,PROTOCOL,Altcoin,1,0,0.02865,100,0,SouthXchange,StakeCube,FrieExchange,3538,0.03,0.01,0.05,0.03,0.03,0.02
2016,ARK,BLOCKCHAIN,Altcoin,1,0,0.38,49.65,0,Binance,Upbit,BingX,74900,0.07,0.03,0.4,0.3,0.8,20
2016,STRAX,BLOCKCHAIN / LAYER,Altcoin,1,0,0.01,49,0,Binance,Upbit,Bitget,215340,0.02,0.01,0.07,0.05,0.08,0.05
2024,CMPS,BLOCKCHAIN,Altcoin,1,0,0.015,20,0,mexc,none,none,130000,0.01,0.01,0.01,0.01,0.01,0.01
2024,MATR1X FIRE,GAMING,GameFi,1,1,0.21,30,10,OKX,Hotcoin,gate.io,686553,0.02,0.18,0.18,0.18,0.19,0.19
2018,QUANT,LAYER,Altcoin,1,0,0.29,14,0,Binance,Bitget,KuCoin,148600,3.98,0.29,5.3,0.73,3.47,0.69
2024,QORPO,GAMING / WEB 3,GameFi,1,1,0.32,9.33,33,Bybit,Firestarter,none,237000,0.44,0.27,0.49,0.25,0.79,0.46
2024,ARTFI,WEB 3 / APPLICATION,Altcoin,1,1,0.03,0.03,0.25,KuCoin,Bitget,Gate.io,327110,0.02,0.02,0.02,0.01,0.01,0.01
